Unnamed: 0,batter,baller,ball_speed,ball_length,ball_swing,wicket,wide,runs,shot,commentary
0,Shami,Tanzim Hasan Sakib,,full,straight,1,0,0,cover drive,"Tanzim Hasan Sakib to Shami, out Shami Run Out,, 1 run completed"
1,Shami,Tanzim Hasan Sakib,,full,straight,0,0,4,cover drive,"Tanzim Hasan Sakib to Shami, FOUR, the game just about alive"
2,Shami,Tanzim Hasan Sakib,,full,straight,0,0,0,cover drive,"Tanzim Hasan Sakib to Shami, no run, third dot in a row"
3,Shami,Tanzim Hasan Sakib,,full,straight,0,0,0,flick,"Tanzim Hasan Sakib to Shami, no run, slower ball and well bowled outside off, Shami slogs and misses"
4,Shami,Tanzim Hasan Sakib,,full,straight,0,0,0,drive,"Tanzim Hasan Sakib to Shami, no run, dug in short on the stumps, Shami pulls and misses, hit on the helmet I think"
5,Pathirana,Kuldeep Yadav,,full,straight,1,0,0,defend,"Kuldeep Yadav to Pathirana, out Bowled,, Poor shot and India win"
6,Pathirana,Kuldeep Yadav,,full,straight,0,0,0,flick,"Kuldeep Yadav to Pathirana, no run, keeps low and turns in on the stumps, Pathirana does well to turn it to square leg"
7,Rajitha,Kuldeep Yadav,,full,straight,1,0,0,defend,"Kuldeep Yadav to Rajitha, out Bowled,, What a googly and knocked over"
8,Rajitha,Hardik Pandya,,full,straight,0,0,1,drive,"Hardik Pandya to Rajitha, 1 run, full and snaking back in on middle, flicked to mid-wicket and Rajitha is away"
9,Theekshana,Hardik Pandya,,full,straight,1,0,0,drive,"Hardik Pandya to Theekshana, out Caught by (sub)Suryakumar Yadav,, Fantastic catch and it is SKY"
10,Theekshana,Hardik Pandya,,full,straight,0,0,0,drive,"Hardik Pandya to Theekshana, no run, another grunty effort-filled length delivery from Hardik Pandya, on the stumps, defended to cover"
11,Theekshana,Hardik Pandya,,full,straight,0,0,0,drive,"Hardik Pandya to Theekshana, no run, back of a length on the stumps, 136kph and tight, Theekshana defends off the back foot"
12,Wellalage,Hardik Pandya,,full,straight,0,0,1,drive,"Hardik Pandya to Wellalage, 1 run, back of a length outside off, Wellalage punches to sweeper cover"
13,Wellalage,Hardik Pandya,,full,straight,0,0,0,flick,"Hardik Pandya to Wellalage, no run, full and wide outside off, Wellalage goes for a big loft and misses"
14,Theekshana,Hardik Pandya,,full,outside,0,0,1,cut,"Hardik Pandya to Theekshana, 1 run, good length on off, pushed to extra-cover and it's an easy single"
