Unnamed: 0,batter,baller,ball_speed,ball_length,ball_swing,wicket,wide,runs,shot,commentary
0,Pathirana,Kuldeep Yadav,,full,outside,1,0,0,defend,"Kuldeep Yadav to Pathirana, out Bowled,, Poor shot and India win"
1,Pathirana,Kuldeep Yadav,,full,outside,0,0,0,defend,"Kuldeep Yadav to Pathirana, no run, keeps low and turns in on the stumps, Pathirana does well to turn it to square leg"
2,Rajitha,Kuldeep Yadav,,full,outside,1,0,0,defend,"Kuldeep Yadav to Rajitha, out Bowled,, What a googly and knocked over"
3,Rajitha,Hardik Pandya,,full,outside,0,0,1,defend,"Hardik Pandya to Rajitha, 1 run, full and snaking back in on middle, flicked to mid-wicket and Rajitha is away"
4,Theekshana,Hardik Pandya,,full,outside,1,0,0,defend,"Hardik Pandya to Theekshana, out Caught by (sub)Suryakumar Yadav,, Fantastic catch and it is SKY"
5,Theekshana,Hardik Pandya,,full,straight,0,0,0,defend,"Hardik Pandya to Theekshana, no run, another grunty effort-filled length delivery from Hardik Pandya, on the stumps, defended to cover"
6,Theekshana,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Theekshana, no run, back of a length on the stumps, 136kph and tight, Theekshana defends off the back foot"
7,Wellalage,Hardik Pandya,,full,outside,0,0,1,cut,"Hardik Pandya to Wellalage, 1 run, back of a length outside off, Wellalage punches to sweeper cover"
8,Wellalage,Hardik Pandya,,full,outside,0,0,0,flick,"Hardik Pandya to Wellalage, no run, full and wide outside off, Wellalage goes for a big loft and misses"
9,Theekshana,Hardik Pandya,,full,outside,0,0,1,defend,"Hardik Pandya to Theekshana, 1 run, good length on off, pushed to extra-cover and it's an easy single"
10,Theekshana,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Theekshana, no run, dug in short at Theekshana who bends his head and lets it go"
11,Theekshana,Hardik Pandya,,short,straight,0,0,0,flick,"Hardik Pandya to Theekshana, no run, good stop by Kohli at cover, saves a run"
12,Theekshana,Hardik Pandya,,full,straight,0,0,0,defend,"Hardik Pandya to Theekshana, no run, wide of the crease and angling into middle and leg, nudged to mid-wicket"
13,Wellalage,Hardik Pandya,,full,outside,0,0,1,flick,"Hardik Pandya to Wellalage, 1 run, fullish around off, Wellalage opens the face of the bat and runs it down to third man"
14,Wellalage,Hardik Pandya,,full,straight,0,0,4,flick,"Hardik Pandya to Wellalage, FOUR, the luck is with Wellalage"
15,Dhananjaya,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Dhananjaya, no run, lovely delivery, wide of the crease and back of a length outside off, extra bounce too, Dhananjaya tries to run it down and misses"
16,Dhananjaya,Hardik Pandya,,full,outside,0,0,0,cover drive,"Hardik Pandya to Dhananjaya, no run, full outside off, Dhananjaya gets forward to drive to mid-off"
17,Dhananjaya,Hardik Pandya,137.0,full,straight,0,0,0,defend,"Hardik Pandya to Dhananjaya, no run, back of a length on the stumps, 137kph, Dhananjaya goes on the back foot to defend"
18,Wellalage,Hardik Pandya,,full,outside,0,0,1,flick,"Hardik Pandya to Wellalage, 1 run, back of a length outside off, Wellalage stands tall to punch to sweeper cover"
19,Wellalage,Hardik Pandya,,full,straight,0,0,0,flick,"Hardik Pandya to Wellalage, no run, good length and tight on the stumps, defended"
20,Wellalage,Hardik Pandya,,full,straight,0,0,0,flick,"Hardik Pandya to Wellalage, no run, dug in short outside off, left alone"
21,Wellalage,Hardik Pandya,,full,outside,0,0,0,flick,"Hardik Pandya to Wellalage, no run, nice delivery and Hardik Pandya follows through near Wellalage after beating him"
22,Wellalage,Hardik Pandya,,full,straight,0,0,0,flick,"Hardik Pandya to Wellalage, no run, full outside off, moving away, left alone"
23,Wellalage,Hardik Pandya,,full,outside,0,0,0,flick,"Hardik Pandya to Wellalage, no run, fullish outside off, angling away from Wellalage who hides the bat inside the pad to leave"
24,Dhananjaya,Hardik Pandya,,full,outside,0,0,1,late cut,"Hardik Pandya to Dhananjaya, 1 run, good length just outside off, Dhananjaya runs it down to third man"
25,Dhananjaya,Hardik Pandya,,full,straight,0,0,0,flick,"Hardik Pandya to Dhananjaya, no run, beautiful delivery"
26,Wellalage,Hardik Pandya,,full,outside,0,0,1,flick,"Hardik Pandya to Wellalage, 1 run, slower ball off-cutter on a length on the stumps, Wellalage runs it down to third man"
27,Wellalage,Kuldeep Yadav,,full,outside,0,0,2,cut,"Kuldeep Yadav to Wellalage, 2 runs, right in between three fielders at deep mid-wicket"
