Unnamed: 0,batter,baller,ball_speed,ball_length,ball_swing,wicket,wide,runs,shot,commentary
0,Faheem Ashraf,Kuldeep Yadav,,full,outside,1,0,0,defend,"Kuldeep Yadav to Faheem Ashraf, out Bowled,, Fifer for Kuldeep,, Length ball that skids on again, goes through the defence of Faheem Ashraf who went onto his backfoot and tried to work it leg side"
1,Faheem Ashraf,Kuldeep Yadav,,full,outside,0,0,0,defend,"Kuldeep Yadav to Faheem Ashraf, no run, was the one that turned back in"
2,Faheem Ashraf,Kuldeep Yadav,,full,outside,0,0,0,defend,"Kuldeep Yadav to Faheem Ashraf, no run, pitched up on middle, defended"
3,Shaheen Afridi,Kuldeep Yadav,,length,outside,0,0,1,defend,"Kuldeep Yadav to Shaheen Afridi, 1 run, flat delivery on off, slapped over the head of Kuldeep towards long-off"
4,Shaheen Afridi,Kuldeep Yadav,,length,outside,0,0,6,defend,"Kuldeep Yadav to Shaheen Afridi, SIX, tossed up delivery, Shaheen backs away and whacks it across the line over long-on for six"
5,Shaheen Afridi,Kuldeep Yadav,,full,outside,0,0,0,cover drive,"Kuldeep Yadav to Shaheen Afridi, no run, tossed up outside off, Shaheen attempts a reverse sweep but misses"
6,Faheem Ashraf,Thakur,,full,outside,0,0,0,cut,"Thakur to Faheem Ashraf, no run, length ball angling in sharply and strikes the thigh pad"
7,Faheem Ashraf,Thakur,,full,straight,0,0,0,defend,"Thakur to Faheem Ashraf, no run, good length outside off, stays straight and keeps a tad low"
8,Faheem Ashraf,Thakur,,full,outside,0,0,0,cover drive,"Thakur to Faheem Ashraf, no run, length ball on off from round the wicket, cut towards point"
9,Faheem Ashraf,Thakur,,full,outside,0,0,0,defend,"Thakur to Faheem Ashraf, no run, full outside off, driven to short cover"
10,Faheem Ashraf,Thakur,,full,outside,0,0,2,defend,"Thakur to Faheem Ashraf, 2 runs, good length on the thigh pad, tucked towards deep mid-wicket for a couple of runs"
11,Faheem Ashraf,Thakur,,full,outside,0,0,0,defend,"Thakur to Faheem Ashraf, no run, full and straight on off, defended to short cover"
12,Shaheen Afridi,Kuldeep Yadav,,full,outside,0,0,0,cut,"Kuldeep Yadav to Shaheen Afridi, no run, length ball on off, defended off the backfoot"
13,Shaheen Afridi,Kuldeep Yadav,,full,leg,0,0,0,flick,"Kuldeep Yadav to Shaheen Afridi, no run, flighted delivery on middle, Shaheen defends off the outer half towards backward point"
14,Shaheen Afridi,Kuldeep Yadav,,full,straight,0,0,0,defend,"Kuldeep Yadav to Shaheen Afridi, no run, pushed fuller with some loop"
15,Iftikhar Ahmed,Kuldeep Yadav,,full,outside,1,0,0,defend,"Kuldeep Yadav to Iftikhar Ahmed, out Caught&Bowled,, Flat delivery, was spinning away after pitching"
16,Iftikhar Ahmed,Kuldeep Yadav,,full,straight,0,0,0,cover drive,"Kuldeep Yadav to Iftikhar Ahmed, no run, shortens the length and gets some turn back in, tucked to mid-wicket"
17,Iftikhar Ahmed,Kuldeep Yadav,,full,outside,0,0,4,defend,"Kuldeep Yadav to Iftikhar Ahmed, FOUR, tossed up delivery on off, Iftikhar throws the kitchen sink at it"
18,Faheem Ashraf,Jadeja,,full,outside,0,0,0,defend,"Jadeja to Faheem Ashraf, no run, darted onto middle, defended"
19,Iftikhar Ahmed,Jadeja,,full,outside,0,0,1,defend,"Jadeja to Iftikhar Ahmed, 1 run, flighted up on off, Iftikhar makes room and drives to deep extra cover"
20,Iftikhar Ahmed,Jadeja,,full,outside,0,0,2,defend,"Jadeja to Iftikhar Ahmed, 2 runs, full on middle, slammed to the right of long-on for a couple of runs"
21,Iftikhar Ahmed,Jadeja,,full,outside,0,0,0,cover drive,"Jadeja to Iftikhar Ahmed, no run, flat on off, cut from the stumps towards backward point"
22,Iftikhar Ahmed,Jadeja,,full,outside,0,0,0,cover drive,"Jadeja to Iftikhar Ahmed, no run, steep turn and bounce,, Pitched on middle and ends outside off with some sharp bounce as well"
23,Faheem Ashraf,Jadeja,,full,straight,0,0,1,defend,"Jadeja to Faheem Ashraf, 1 run, fired on the pads, glanced behind square"
24,Iftikhar Ahmed,Kuldeep Yadav,,full,straight,0,0,0,drive,"Kuldeep Yadav to Iftikhar Ahmed, no run, tossed up on middle, driven back to Kuldeep"
25,Faheem Ashraf,Kuldeep Yadav,,full,outside,0,0,1,drive,"Kuldeep Yadav to Faheem Ashraf, 1 run, flighted up and with a bit of width, driven past the catching cover fielder"
26,Shadab Khan,Kuldeep Yadav,,full,outside,1,0,0,cut,"Kuldeep Yadav to Shadab Khan, out Caught by Thakur,, Third wicket for Kuldeep,, Tossed up delivery and Shadab plays a half-hearted chipped drive towards long-on"
27,Iftikhar Ahmed,Kuldeep Yadav,,length,outside,0,0,1,cut,"Kuldeep Yadav to Iftikhar Ahmed, 1 run, length ball that turns away, punched square of the wicket for a single"
